layer_index,function_name,raw_weight,normalized_weight
0,silu,0.3588885,0.15297587
0,relu,0.30966392,0.13199395
0,tanh,1.0957334,0.4670553
0,sigmoid,-0.14884493,-0.063445
0,abs,0.23185267,0.098826975
0,identity,0.49875304,0.21259299
1,silu,0.89714146,0.32099867
1,relu,0.6713011,0.24019262
1,tanh,0.65253896,0.23347948
1,sigmoid,-0.0003869358,-0.00013844625
1,abs,0.2578244,0.09224998
1,identity,0.31642577,0.11321765
2,silu,0.8830601,0.38889554
2,relu,0.56580913,0.2491797
2,tanh,0.35381112,0.15581676
2,sigmoid,0.00014198753,6.253065e-05
2,abs,0.21662867,0.095402256
2,identity,0.25123596,0.11064315
3,silu,0.2682587,0.13303207
3,relu,0.24284239,0.120427884
3,tanh,0.34310904,0.17015108
3,sigmoid,0.81612074,0.40472212
3,abs,0.11891741,0.05897229
3,identity,0.22724818,0.11269456
